CommitId,RefactoringCount,AnonymousClassToType,ExtractMoveMethod,ExtractMethod,ExtractSuperclass,InlineOperation,MoveAttribute,MoveClass,MoveOperation,Author,Date,Classes,FP,Refactoring,Bugfix,Feature,dd
989f7be6d19069e40c82ba14b5060401ae4a29a4,1,0,0,0,0,0,0,0,1,David Gilbert,2018.02.22,org.jfree.chart.ChartUtils;org.jfree.chart.ChartPanel,,1,,,1
22701c9ec4cd5bd88f8a7f17ae11c18099dd1ec7,1,0,0,0,0,0,0,0,0,David Gilbert,2017.05.12,-,,1,,,
506e79fa8b1a97593770f4d4719d06d7fc7c3ae3,1,0,0,0,0,0,0,0,1,David Gilbert,2017.05.06,org.jfree.chart.renderer.xy.AbstractXYItemRenderer;org.jfree.chart.util.ShapeUtils,,1,,,1
7b90718f0f010049a3d4343fa6c7c917b94f27a1,1,0,0,0,0,0,0,0,0,David Gilbert,2017.05.06,-,,1,,,
b19a328a7e890bb0318760164e5e3ab7ba73a750,1,0,0,0,0,0,0,0,0,David Gilbert,2017.05.06,-,,1,,,
871490272e372e910414952594d658611899da55,1,0,0,0,0,0,0,0,0,David Gilbert,2017.05.06,-,,1,,,
434bac1e228cbbbebe7653d55064fb67e8c62962,1,0,0,0,0,0,0,0,0,David Gilbert,2017.05.06,-,,1,,,
0e91d34393859453e288a3e9b7041239f712af82,1,0,0,0,0,0,0,0,0,David Gilbert,2017.05.06,-,,1,,,
c7d2cb0b44e37815c12c5067f7ccbf8e7cf43925,1,0,0,0,0,0,0,0,0,David Gilbert,2017.05.06,-,,1,,,
0763be8ec6b44c7fd782fd497aadcd455f0491f0,1,0,0,0,0,0,0,0,0,David Gilbert,2017.05.06,-,,1,,,
3094ae80c2a8246bd8804e76af8ac4af70d4c0ed,1,0,0,0,0,0,0,0,0,David Gilbert,2017.05.06,-,,1,,,
00fe15cdd6de3d203ca89719bac2cb45aa82925d,1,0,0,0,0,0,0,0,1,David Gilbert,2017.05.06,org.jfree.chart.util.TextUtils;org.jfree.chart.text.TextUtils,,,1,,
ea1b09dba6931ba20e0ce2e1e8e528793a7fbae3,1,0,0,0,0,0,0,0,0,David Gilbert,2017.05.06,-,,1,,,
2b586d21b080d82ea533b65c837c0ef3f377b43d,6,0,0,0,0,0,0,0,0,David Gilbert,2017.03.23,-,,1,,,
defa1876cae51be09178a7e8ec238d407c5643f3,6,0,0,0,0,0,0,0,0,David Gilbert,2017.03.15,-,,1,,,
6a67a2027cb181c8d00b88145a1b4b0116c38805,3,0,0,3,0,0,0,0,0,David Gilbert,2017.03.13,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,,1,,,
79679c0545f5167515d40e2f23f19e91aa691077,2,0,0,0,0,2,0,0,0,David Gilbert,2017.03.10,org.jfree.chart.renderer.category.LevelRenderer,,1,,,
9f3e8bb2791fb369ef056d6691a8b820a5ae843c,1,0,0,0,0,0,0,0,0,David Gilbert,2017.03.09,-,,1,,,
e4e04e10a80308f2dd5784956d684376faf5b608,1,0,0,0,0,1,0,0,0,David Gilbert,2017.03.09,org.jfree.data.xy.XYSeries,,1,,,
528da74c15b68386fc93f86c39586427d8b5dd2b,3,0,0,0,0,0,1,0,2,David Gilbert,2017.02.18,org.jfree.chart.fx.ChartViewerSkin;org.jfree.chart.fx.ChartViewer,,,,1,1
0c39fbe289d6d6cf212f4a5c5e5d52e8c0227e8f,1,0,1,0,0,0,0,0,0,David Gilbert,2016.02.20,org.jfree.chart.fx.ChartViewerSkin;org.jfree.chart.fx.ChartViewer,,,,1,1
2228e7e92f418078706f2134d2ecce11888b1cb7,1,0,0,0,0,0,0,0,0,David Gilbert,2016.02.19,-,,1,,,
74a5c5d8d0b117fbb4c1ef705a4c0eaf0dc0522f,2,0,0,0,0,0,0,0,2,David Gilbert,2014.08.24,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer;org.jfree.chart.renderer.AbstractRenderer,,,,1,1
bc8466513b77849587eefcbf26fc03e4480dc68e,1,0,0,0,0,0,0,0,0,David Gilbert,2014.02.23,-,,1,,,
f2e9d31fe272f795cf26e573684cc541559b1675,1,0,0,0,0,1,0,0,0,David Gilbert,2013.11.22,org.jfree.chart.util.PaintAlpha,,,,1,
1e7f9192644c5816cb892b5d724f87f774fbe297,1,0,0,1,0,0,0,0,0,matinh,2012.03.11,org.jfree.chart.title.LegendTitle,,,,1,
1707a94af46df84373e3118c62e18359d40b1f16,20,0,0,1,1,0,10,0,8,matinh,2011.12.12,org.jfree.chart.editor.DefaultValueAxisEditor;org.jfree.chart.editor.DefaultNumberAxisEditor;org.jfree.chart.editor.DefaultPlotEditor,,,,1,1
3aae11e45a401931e460c996329492af06ceface,1,0,0,1,0,0,0,0,0,matinh,2011.10.07,org.jfree.chart.plot.PolarPlot,,,,1,
442709821b12dbd7a0cd1017314a24e564943fd5,4,0,4,0,0,0,0,0,0,David Gilbert,2011.10.07,org.jfree.chart.renderer.xy.AbstractXYItemRenderer;org.jfree.chart.renderer.xy.XYAreaRenderer2;org.jfree.chart.renderer.xy.XYAreaRenderer,,1,,,1
83d4b84c10d94736dcfc00e24dad618fbe6f75c4,1,0,0,1,0,0,0,0,0,David Gilbert,2009.11.27,org.jfree.chart.plot.PolarPlot,,,,1,
4c2a050e35a4ad07b6d16d704d6b9424539476db,1,0,0,0,1,0,0,0,0,David Gilbert,2009.06.24,org.jfree.chart.annotations.TextAnnotation;org.jfree.chart.annotations.AbstractAnnotation;org.jfree.chart.annotations.CategoryLineAnnotation;org.jfree.chart.annotations.AbstractXYAnnotation,,,,1,1
891fbddeb5a6a91d6219c348d3cc99b79a1a81fe,1,0,0,1,0,0,0,0,0,David Gilbert,2009.06.10,org.jfree.data.xy.XYSeries,,,,1,
6bf077fc9167c0ad5112e49da2c5483fcda10d6a,1,0,0,1,0,0,0,0,0,David Gilbert,2009.06.10,org.jfree.data.time.TimeSeries,,,,1,
5c1409042495230a34e1a9906cc5fe716f83573d,1,0,0,1,0,0,0,0,0,David Gilbert,2009.05.26,org.jfree.data.time.TimeSeries,,,,1,
930dfe88b9c8586f892f830817283a32a87f7095,1,0,1,0,0,0,0,0,0,David Gilbert,2009.04.28,org.jfree.chart.renderer.xy.AbstractXYItemRenderer;org.jfree.chart.renderer.AbstractRenderer,1,,1,,
e481972cf636e3ae3bb2e540aa6cb34841b1b81f,3,0,0,0,0,0,0,3,0,David Gilbert,2009.04.09,org.jfree.chart.plot.Crosshair;org.jfree.chart.labels.CrosshairLabelGenerator;org.jfree.chart.plot.junit.CrosshairTests,,,,1,1
9fb72aaa747caaaa3df308a085417c7169994545,1,0,0,1,0,0,0,0,0,David Gilbert,2009.04.08,org.jfree.chart.ChartPanel,,,,1,
3ad15962abbdb1b9f7ed38936418669a88ce4baa,5,0,0,0,0,0,3,0,2,David Gilbert,2009.04.01,org.jfree.chart.renderer.xy.AbstractXYItemRenderer;org.jfree.chart.renderer.AbstractRenderer,,,,1,
dde33779575959152fa719865f48a2e05ad6ee05,3,0,0,3,0,0,0,0,0,David Gilbert,2009.03.27,org.jfree.chart.renderer.xy.AbstractXYItemRenderer;org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,,,,1,1
cda18916303e9e64e8c6dd724ac9069ba285df55,1,0,0,1,0,0,0,0,0,David Gilbert,2009.03.02,org.jfree.chart.axis.PeriodAxisLabelInfo,,,,1,
4b78bdc92d9b0164a58febd85f4de888f10bc36f,1,0,0,1,0,0,0,0,0,David Gilbert,2009.02.12,org.jfree.data.general.DatasetUtilities,,,,1,
09e9bcacba56d92760161d437abbe1f2ffca6b13,1,0,0,1,0,0,0,0,0,David Gilbert,2009.02.04,org.jfree.chart.renderer.category.StackedBarRenderer3D,,,,1,
19074d828694db2805d159b1d74198a80a91de18,1,0,0,0,0,0,0,0,0,David Gilbert,2009.01.09,-,,1,,,1
0a1f5ed7eecf43931d185d2d983fd4c14c9edb1f,1,0,0,1,0,0,0,0,0,David Gilbert,2008.11.25,org.jfree.chart.axis.DateAxis,,,1,,
2754ba69cebbd4bc1b0fa53c7c16f5c211665e8a,4,0,0,4,0,0,0,0,0,David Gilbert,2008.11.25,org.jfree.chart.plot.CategoryPlot;org.jfree.chart.plot.XYPlot,,,,1,
f550c9aa5d24240e8949beb82cf5ff0147f71efe,21,0,0,21,0,0,0,0,0,David Gilbert,2008.09.26,org.jfree.chart.axis.Axis,,1,,,1
2d361099f099f6704fa4e6b61fad3b787036270a,5,0,0,0,0,0,3,0,2,David Gilbert,2008.09.25,org.jfree.chart.axis.ValueAxis;org.jfree.chart.axis.LogAxis,,,,1,
a9bc199e496700e8ce8729de683cb530c2c1d301,1,0,0,1,0,0,0,0,0,David Gilbert,2008.09.18,org.jfree.chart.axis.DateAxis,,,,1,
d790e8ab3682e5f98b70e3336200852d49cec62a,3,0,0,0,0,0,0,3,0,David Gilbert,2008.09.03,org.jfree.chart.annotations.XYTitleAnnotation;org.jfree.chart.annotations.junit.XYTitleAnnotationTests;org.jfree.chart.util.XYCoordinateType,,,,1,1
d3262db2f8e418df2a7cb96be6dcd8996faf6d57,1,0,0,1,0,0,0,0,0,David Gilbert,2008.06.06,org.jfree.chart.axis.Axis,,,,1,
58daa46fa3592fd73cdee7b90c8239ee0ce4694e,3,0,0,3,0,0,0,0,0,David Gilbert,2008.04.28,org.jfree.chart.plot.CombinedRangeXYPlot;org.jfree.chart.plot.CombinedDomainCategoryPlot;org.jfree.chart.plot.CombinedDomainXYPlot,,,1,,
b5f17e4419ee76a21accbe68739fe04fe71f1dfd,1,0,0,1,0,0,0,0,0,David Gilbert,2008.03.28,org.jfree.data.general.DatasetUtilities,,,1,,
c26bfc6901f1ac0385bfd5d3263a3fbc17c9ddf6,2,0,0,2,0,0,0,0,0,David Gilbert,2008.03.27,org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,1,,,,
202f00e21d6d89618e51cdfc06fe55980f056b97,15,0,0,15,0,0,0,0,0,David Gilbert,2008.03.25,org.jfree.chart.plot.Plot,,1,,,1
e3bc4b9eb946740b5e4e786bbd33e2b4a36c2581,6,0,0,6,0,0,0,0,0,David Gilbert,2008.03.25,org.jfree.chart.plot.CategoryPlot,,,,1,
f45bf2ff66a916bc3a80b6d151012975b8c6197a,6,0,0,6,0,0,0,0,0,David Gilbert,2008.03.25,org.jfree.chart.plot.XYPlot,,,,1,
faa3c1d2831143e2101e7e0bf1ab1ac8f16b28ab,1,0,0,1,0,0,0,0,0,David Gilbert,2008.02.14,org.jfree.chart.renderer.xy.XYStepRenderer,,,,1,
ee68dcd9ba53729164d8cc331fa544beddecd03c,2,0,0,2,0,0,0,0,0,David Gilbert,2007.11.27,org.jfree.chart.plot.XYPlot,,,,1,
efd88565e2e8354dd731bcd27f9e5c276ff898b4,1,0,0,0,0,0,0,0,1,David Gilbert,2007.11.27,org.jfree.experimental.swt.SWTUtils;org.jfree.experimental.swt.SWTGraphics2D,,,,1,1
8ca27c96a77fb926569863184bb539d27890fbdc,2,0,0,2,0,0,0,0,0,David Gilbert,2007.11.14,org.jfree.chart.plot.CategoryPlot,,,1,,
bcfa72fda54e85e3f61004c547b916794788cc86,1,0,0,0,0,0,0,0,0,David Gilbert,2007.10.29,-,,1,,,
6ff464842cfb5f98f128246018d407f9153b64ce,1,0,0,0,0,0,0,0,0,David Gilbert,2007.10.25,-,,1,,,
9b379dc365f17c8f333a2f8f9358a368f0cf83f1,29,0,0,0,0,0,0,29,0,David Gilbert,2007.10.24,org.jfree.chart.plot.dial.SimpleDialFrame;org.jfree.chart.plot.dial.junit.ArcDialFrameTests;org.jfree.chart.plot.dial.junit.DialValueIndicatorTests;org.jfree.chart.plot.dial.junit.DialPlotTests;org.jfree.chart.plot.dial.junit.StandardDialScaleTests;org.jfree.chart.plot.dial.ArcDialFrame;org.jfree.chart.plot.dial.DialScale;org.jfree.chart.plot.dial.DialPlot;org.jfree.chart.plot.dial.AbstractDialLayer;org.jfree.chart.plot.dial.DialFrame;org.jfree.chart.plot.dial.junit.AbstractDialLayerTests;org.jfree.chart.plot.dial.junit.SimpleDialFrameTests;org.jfree.chart.plot.dial.StandardDialRange;org.jfree.chart.plot.dial.DialLayerChangeListener;org.jfree.chart.plot.dial.junit.DialBackgroundTests;org.jfree.chart.plot.dial.junit.DialTextAnnotationTests;org.jfree.chart.plot.dial.DialLayerChangeEvent;org.jfree.chart.plot.dial.DialPointer;org.jfree.chart.plot.dial.DialTextAnnotation;org.jfree.chart.plot.dial.DialLayer;org.jfree.chart.plot.dial.junit.DialPointerTests;org.jfree.chart.plot.dial.DialCap;org.jfree.chart.plot.dial.junit.MyDialLayerChangeListener;org.jfree.chart.plot.dial.junit.StandardDialRangeTests;org.jfree.chart.plot.dial.junit.DialPackageTests;org.jfree.chart.plot.dial.DialValueIndicator;org.jfree.chart.plot.dial.junit.DialCapTests;org.jfree.chart.plot.dial.StandardDialScale;org.jfree.chart.plot.dial.DialBackground,,1,,,1
34508241ccd324d5baf85d80ff276838f7795fdc,2,0,0,0,0,0,0,0,0,David Gilbert,2007.10.24,-,,1,,,
23c372914a5a1b65b19e61f988e2252ddebf72e9,1,0,0,0,0,0,0,0,0,David Gilbert,2007.10.11,-,,1,,,
6895844dc629c74562a5ab04fde04556e96f53dc,2,0,0,0,0,0,0,0,0,David Gilbert,2007.10.11,-,,1,,,
738b6bc564beddbb40a46d3a5fad3089f7e43ea6,1,0,0,1,0,0,0,0,0,David Gilbert,2007.10.03,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,1,,,,
0b0ddbbe4411c9ec4bb64dc7f9b6d9bc24f2bc0e,3,0,0,3,0,0,0,0,0,David Gilbert,2007.09.24,org.jfree.chart.plot.CategoryPlot;org.jfree.chart.plot.XYPlot,1,,,,